,PQ1.1_Modeling_language_experience,,,,,,PQ1.2_Modeling_language_reference,,PQ2.1_Modeling_tool_experiences,,,,,,,,,,,,PQ2.2_Modeling_tool_reference,,PQ3_Modeling_exp_time,,PQ4_Modeling_activities,,,,,,,PQ5_Modeling_Self-evaluation,PQ6_Modeling_context,,,,,,PQ7_Modeling_learning,,,,,,,,,PQ8_Educational_level?,,PP01_Frequency ,,PP01_Causes,,,,,PP01_Reponses,,,,,,,,PP02_Frequency ,,PP02_Causes,,,,,PP02_Reponses,,,,,,,,PP03_Frequency ,,PP03_Causes,,,,,PP03_Reponses,,,,,,,,PP04_Frequency ,,PP04_Causes,,,,,PP04_Reponses,,,,,,,,PP05_Frequency ,,PP05_Causes,,,,,PP05_Reponses,,,,,,,,PP06_Frequency ,,PP06_Causes,,,,,PP06_Reponses,,,,,,,,PP07_Frequency ,,PP07_Causes,,,,,PP07_Reponses,,,,,,,,PP08_Frequency ,,PP08_Causes,,,,,PP08_Reponses,,,,,,,,PP09_Frequency ,,PP09_Causes,,,,,PP09_Reponses,,,,,,,,PP10_Frequency ,,PP10_Causes,,,,,PP10_Reponses,,,,,,,,PP11_Frequency ,,PP11_Causes,,,,,PP11_Reponses,,,,,,,,PP12_Frequency ,,PP12_Causes,,,,,PP12_Reponses,,,,,,,,PP13_Frequency ,,PP13_Causes,,,,,PP13_Reponses,,,,,,,,PP14_Frequency ,,PP14_Causes,,,,,PP14_Reponses,,,,,,,,PP15_Frequency ,,PP15_Causes,,,,,PP15_Reponses,,,,,,,,PP16_Frequency ,,PP16_Causes,,,,,PP16_Reponses,,,,,,,
Respondent_ID,ML_Exp_UML,ML_Exp_OntoUML,ML_Exp_ER,ML_Exp_ORM,ML_Exp_Other,ML_Exp_OtherDescription,ML_Ref,ML_Ref_OtherDescription,MT_Exp_VPP,MT_Exp_EA,MT_Exp_Astah,MT_Exp_Lucidchart,MT_Exp_Draw.io,MT_Exp_ArgoUML,MT_Exp_MagicDraw,MT_Exp_StarUML,MT_Exp_IBMRationalRhapsody,MT_Exp_JetUML,MT_Exp_Other,MT_Exp_OtherDescription,MT_Ref,MT_Ref_OtherDescription,ME_Exp,ME_YearsOfExp_ifExp>3,MA_Reading&Feedback_OthersModels,MA_Creating,MA_Documenting,MA_Implementing,MA_Updating_OthersModels,MA_Other,MA_OtherDescription,MS_SelfEva,MC_Education,MC_Research,MC_Industry,MC_Government,MC_Other,MC_OtherDescription,ML_Bachelor,ML_SpecialisationCourse,ML_MasterCourse,ML_PhDCourse,ML_IndependentCourse,ML_WorkExperience,ML_SelfLearning,ML_Other,ML_OtherDescription,EL_EducLevel,EL_OtherDescription,PP01_RQ1.1_Frequency_Experience,PP01_RQ1.2_Frequency_Frequency,PP01_RQ2.1_Cause_WasteTime,PP01_RQ2.2_Cause_HigherCosts,PP01_RQ2.3_Cause_GoalsDisatisfaction,PP01_RQ2.4_Cause_NegativeFeelings,PP01_RQ2.5_Cause_Other,PP01_RQ3.1_Response_KeptModeling,PP01_RQ3.2_Response_ChangeLanguage,PP01_RQ3.3_Response_Training,PP01_RQ3.4_Response_ChangeTool,PP01_RQ3.5_Response_ChangeMethod,PP01_RQ3.6_Response_ImplementWorkaround,PP01_RQ3.7_Response_GiveUp,PP01_RQ3.8_Response_Other,PP02_RQ1.1_Frequency_Experience,PP02_RQ1.2_Frequency_Frequency,PP02_RQ2.1_Cause_WasteTime,PP02_RQ2.2_Cause_HigherCosts,PP02_RQ2.3_Cause_GoalsDisatisfaction,PP02_RQ2.4_Cause_NegativeFeelings,PP02_RQ2.5_Cause_Other,PP02_RQ3.1_Response_KeptModeling,PP02_RQ3.2_Response_ChangeLanguage,PP02_RQ3.3_Response_Training,PP02_RQ3.4_Response_ChangeTool,PP02_RQ3.5_Response_ChangeMethod,PP02_RQ3.6_Response_ImplementWorkaround,PP02_RQ3.7_Response_GiveUp,PP02_RQ3.8_Response_Other,PP03_RQ1.1_Frequency_Experience,PP03_RQ1.2_Frequency_Frequency,PP03_RQ2.1_Cause_WasteTime,PP03_RQ2.2_Cause_HigherCosts,PP03_RQ2.3_Cause_GoalsDisatisfaction,PP03_RQ2.4_Cause_NegativeFeelings,PP03_RQ2.5_Cause_Other,PP03_RQ3.1_Response_KeptModeling,PP03_RQ3.2_Response_ChangeLanguage,PP03_RQ3.3_Response_Training,PP03_RQ3.4_Response_ChangeTool,PP03_RQ3.5_Response_ChangeMethod,PP03_RQ3.6_Response_ImplementWorkaround,PP03_RQ3.7_Response_GiveUp,PP03_RQ3.8_Response_Other,PP04_RQ1.1_Frequency_Experience,PP04_RQ1.2_Frequency_Frequency,PP04_RQ2.1_Cause_WasteTime,PP04_RQ2.2_Cause_HigherCosts,PP04_RQ2.3_Cause_GoalsDisatisfaction,PP04_RQ2.4_Cause_NegativeFeelings,PP04_RQ2.5_Cause_Other,PP04_RQ3.1_Response_KeptModeling,PP04_RQ3.2_Response_ChangeLanguage,PP04_RQ3.3_Response_Training,PP04_RQ3.4_Response_ChangeTool,PP04_RQ3.5_Response_ChangeMethod,PP04_RQ3.6_Response_ImplementWorkaround,PP04_RQ3.7_Response_GiveUp,PP04_RQ3.8_Response_Other,PP05_RQ1.1_Frequency_Experience,PP05_RQ1.2_Frequency_Frequency,PP05_RQ2.1_Cause_WasteTime,PP05_RQ2.2_Cause_HigherCosts,PP05_RQ2.3_Cause_GoalsDisatisfaction,PP05_RQ2.4_Cause_NegativeFeelings,PP05_RQ2.5_Cause_Other,PP05_RQ3.1_Response_KeptModeling,PP05_RQ3.2_Response_ChangeLanguage,PP05_RQ3.3_Response_Training,PP05_RQ3.4_Response_ChangeTool,PP05_RQ3.5_Response_ChangeMethod,PP05_RQ3.6_Response_ImplementWorkaround,PP05_RQ3.7_Response_GiveUp,PP05_RQ3.8_Response_Other,PP06_RQ1.1_Frequency_Experience,PP06_RQ1.2_Frequency_Frequency,PP06_RQ2.1_Cause_WasteTime,PP06_RQ2.2_Cause_HigherCosts,PP06_RQ2.3_Cause_GoalsDisatisfaction,PP06_RQ2.4_Cause_NegativeFeelings,PP06_RQ2.5_Cause_Other,PP06_RQ3.1_Response_KeptModeling,PP06_RQ3.2_Response_ChangeLanguage,PP06_RQ3.3_Response_Training,PP06_RQ3.4_Response_ChangeTool,PP06_RQ3.5_Response_ChangeMethod,PP06_RQ3.6_Response_ImplementWorkaround,PP06_RQ3.7_Response_GiveUp,PP06_RQ3.8_Response_Other,PP07_RQ1.1_Frequency_Experience,PP07_RQ1.2_Frequency_Frequency,PP07_RQ2.1_Cause_WasteTime,PP07_RQ2.2_Cause_HigherCosts,PP07_RQ2.3_Cause_GoalsDisatisfaction,PP07_RQ2.4_Cause_NegativeFeelings,PP07_RQ2.5_Cause_Other,PP07_RQ3.1_Response_KeptModeling,PP07_RQ3.2_Response_ChangeLanguage,PP07_RQ3.3_Response_Training,PP07_RQ3.4_Response_ChangeTool,PP07_RQ3.5_Response_ChangeMethod,PP07_RQ3.6_Response_ImplementWorkaround,PP07_RQ3.7_Response_GiveUp,PP07_RQ3.8_Response_Other,PP08_RQ1.1_Frequency_Experience,PP08_RQ1.2_Frequency_Frequency,PP08_RQ2.1_Cause_WasteTime,PP08_RQ2.2_Cause_HigherCosts,PP08_RQ2.3_Cause_GoalsDisatisfaction,PP08_RQ2.4_Cause_NegativeFeelings,PP08_RQ2.5_Cause_Other,PP08_RQ3.1_Response_KeptModeling,PP08_RQ3.2_Response_ChangeLanguage,PP08_RQ3.3_Response_Training,PP08_RQ3.4_Response_ChangeTool,PP08_RQ3.5_Response_ChangeMethod,PP08_RQ3.6_Response_ImplementWorkaround,PP08_RQ3.7_Response_GiveUp,PP08_RQ3.8_Response_Other,PP09_RQ1.1_Frequency_Experience,PP09_RQ1.2_Frequency_Frequency,PP09_RQ2.1_Cause_WasteTime,PP09_RQ2.2_Cause_HigherCosts,PP09_RQ2.3_Cause_GoalsDisatisfaction,PP09_RQ2.4_Cause_NegativeFeelings,PP09_RQ2.5_Cause_Other,PP09_RQ3.1_Response_KeptModeling,PP09_RQ3.2_Response_ChangeLanguage,PP09_RQ3.3_Response_Training,PP09_RQ3.4_Response_ChangeTool,PP09_RQ3.5_Response_ChangeMethod,PP09_RQ3.6_Response_ImplementWorkaround,PP09_RQ3.7_Response_GiveUp,PP09_RQ3.8_Response_Other,PP10_RQ1.1_Frequency_Experience,PP10_RQ1.2_Frequency_Frequency,PP10_RQ2.1_Cause_WasteTime,PP10_RQ2.2_Cause_HigherCosts,PP10_RQ2.3_Cause_GoalsDisatisfaction,PP10_RQ2.4_Cause_NegativeFeelings,PP10_RQ2.5_Cause_Other,PP10_RQ3.1_Response_KeptModeling,PP10_RQ3.2_Response_ChangeLanguage,PP10_RQ3.3_Response_Training,PP10_RQ3.4_Response_ChangeTool,PP10_RQ3.5_Response_ChangeMethod,PP10_RQ3.6_Response_ImplementWorkaround,PP10_RQ3.7_Response_GiveUp,PP10_RQ3.8_Response_Other,PP11_RQ1.1_Frequency_Experience,PP11_RQ1.2_Frequency_Frequency,PP11_RQ2.1_Cause_WasteTime,PP11_RQ2.2_Cause_HigherCosts,PP11_RQ2.3_Cause_GoalsDisatisfaction,PP11_RQ2.4_Cause_NegativeFeelings,PP11_RQ2.5_Cause_Other,PP11_RQ3.1_Response_KeptModeling,PP11_RQ3.2_Response_ChangeLanguage,PP11_RQ3.3_Response_Training,PP11_RQ3.4_Response_ChangeTool,PP11_RQ3.5_Response_ChangeMethod,PP11_RQ3.6_Response_ImplementWorkaround,PP11_RQ3.7_Response_GiveUp,PP11_RQ3.8_Response_Other,PP12_RQ1.1_Frequency_Experience,PP12_RQ1.2_Frequency_Frequency,PP12_RQ2.1_Cause_WasteTime,PP12_RQ2.2_Cause_HigherCosts,PP12_RQ2.3_Cause_GoalsDisatisfaction,PP12_RQ2.4_Cause_NegativeFeelings,PP12_RQ2.5_Cause_Other,PP12_RQ3.1_Response_KeptModeling,PP12_RQ3.2_Response_ChangeLanguage,PP12_RQ3.3_Response_Training,PP12_RQ3.4_Response_ChangeTool,PP12_RQ3.5_Response_ChangeMethod,PP12_RQ3.6_Response_ImplementWorkaround,PP12_RQ3.7_Response_GiveUp,PP12_RQ3.8_Response_Other,PP13_RQ1.1_Frequency_Experience,PP13_RQ1.2_Frequency_Frequency,PP13_RQ2.1_Cause_WasteTime,PP13_RQ2.2_Cause_HigherCosts,PP13_RQ2.3_Cause_GoalsDisatisfaction,PP13_RQ2.4_Cause_NegativeFeelings,PP13_RQ2.5_Cause_Other,PP13_RQ3.1_Response_KeptModeling,PP13_RQ3.2_Response_ChangeLanguage,PP13_RQ3.3_Response_Training,PP13_RQ3.4_Response_ChangeTool,PP13_RQ3.5_Response_ChangeMethod,PP13_RQ3.6_Response_ImplementWorkaround,PP13_RQ3.7_Response_GiveUp,PP13_RQ3.8_Response_Other,PP14_RQ1.1_Frequency_Experience,PP14_RQ1.2_Frequency_Frequency,PP14_RQ2.1_Cause_WasteTime,PP14_RQ2.2_Cause_HigherCosts,PP14_RQ2.3_Cause_GoalsDisatisfaction,PP14_RQ2.4_Cause_NegativeFeelings,PP14_RQ2.5_Cause_Other,PP14_RQ3.1_Response_KeptModeling,PP14_RQ3.2_Response_ChangeLanguage,PP14_RQ3.3_Response_Training,PP14_RQ3.4_Response_ChangeTool,PP14_RQ3.5_Response_ChangeMethod,PP14_RQ3.6_Response_ImplementWorkaround,PP14_RQ3.7_Response_GiveUp,PP14_RQ3.8_Response_Other,PP15_RQ1.1_Frequency_Experience,PP15_RQ1.2_Frequency_Frequency,PP15_RQ2.1_Cause_WasteTime,PP15_RQ2.2_Cause_HigherCosts,PP15_RQ2.3_Cause_GoalsDisatisfaction,PP15_RQ2.4_Cause_NegativeFeelings,PP15_RQ2.5_Cause_Other,PP15_RQ3.1_Response_KeptModeling,PP15_RQ3.2_Response_ChangeLanguage,PP15_RQ3.3_Response_Training,PP15_RQ3.4_Response_ChangeTool,PP15_RQ3.5_Response_ChangeMethod,PP15_RQ3.6_Response_ImplementWorkaround,PP15_RQ3.7_Response_GiveUp,PP15_RQ3.8_Response_Other,PP16_RQ1.1_Frequency_Experience,PP16_RQ1.2_Frequency_Frequency,PP16_RQ2.1_Cause_WasteTime,PP16_RQ2.2_Cause_HigherCosts,PP16_RQ2.3_Cause_GoalsDisatisfaction,PP16_RQ2.4_Cause_NegativeFeelings,PP16_RQ2.5_Cause_Other,PP16_RQ3.1_Response_KeptModeling,PP16_RQ3.2_Response_ChangeLanguage,PP16_RQ3.3_Response_Training,PP16_RQ3.4_Response_ChangeTool,PP16_RQ3.5_Response_ChangeMethod,PP16_RQ3.6_Response_ImplementWorkaround,PP16_RQ3.7_Response_GiveUp,PP16_RQ3.8_Response_Other
14018615650,1,0,1,0,0,,UML,,0,1,0,0,0,0,0,0,1,0,0,,Enterprise Architect (Sparx Systems),,More than 3 years,15,0,1,1,0,0,0,,Intermediate,0,0,1,0,0,,1,0,0,0,1,1,0,0,,Master's degree or higher education,,1,Sometimes,Agree,Agree,Strongly agree,Disagree,,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Sometimes,Agree,Disagree,Disagree,Disagree,,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Sometimes,Neither agree nor disagree,Agree,Disagree,Disagree,,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,1,Sometimes,Disagree,Agree,Disagree,Disagree,,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,0,,,,,,,,,,,,,,,1,Sometimes,Disagree,Disagree,Agree,Disagree,,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
14018595511,1,1,1,0,0,,UML,,1,0,1,0,0,0,0,0,0,0,0,,Visual Paradigm,,More than 3 years,20,1,1,1,1,0,0,,Expert,1,1,0,0,0,,1,0,1,1,0,0,1,0,,Master's degree or higher education,,1,Sometimes,Agree,Disagree,Strongly agree,Strongly disagree,,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,I postponed modeling until later in the project,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Usually,Strongly disagree,Agree,Disagree,Strongly disagree,"Because it's a lot of work, sometimes repetitive work",Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,0,,,,,,,,,,,,,,,1,Usually,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Similar to PP05,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,0,,,,,,,,,,,,,,,1,Sometimes,Agree,Agree,Disagree,Strongly disagree,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,0,,,,,,,,,,,,,,,1,Sometimes,Agree,Agree,Strongly disagree,Strongly disagree,,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Sometimes,Neither agree nor disagree,Agree,Disagree,Strongly disagree,,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,
14018594245,1,1,1,0,0,,OntoUML,,1,0,1,1,0,0,0,0,0,0,0,,Visual Paradigm,,More than 3 years,25,1,1,0,1,0,0,,Expert,1,1,0,0,0,,1,0,1,1,0,0,0,0,,Master's degree or higher education,,1,Sometimes,Agree,Neither agree nor disagree,Agree,Agree,,Neither agree nor disagree,Disagree,Strongly agree,Disagree,Agree,Agree,Strongly disagree,,1,Usually,Agree,Disagree,Agree,Neither agree nor disagree,,Disagree,Disagree,Strongly agree,Disagree,Agree,Disagree,Strongly disagree,,0,,,,,,,,,,,,,,,1,Rarely,Strongly agree,Agree,Neither agree nor disagree,Disagree,,Agree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Sometimes,Strongly agree,Strongly agree,Agree,Disagree,,Disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Strongly disagree,,1,Usually,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,,Strongly disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,,1,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree,,Strongly disagree,Disagree,Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,,1,Usually,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,Strongly disagree,Disagree,Strongly agree,Agree,Disagree,Agree,Strongly disagree,,1,Usually,Disagree,Agree,Agree,Agree,,Agree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,,1,Usually,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree,,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Strongly disagree,,0,,,,,,,,,,,,,,,1,Sometimes,Agree,Agree,Agree,Agree,,Agree,Disagree,Strongly agree,Disagree,Agree,Disagree,Disagree,,1,Rarely,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,,Disagree,Disagree,Strongly agree,Disagree,Strongly agree,Agree,Strongly disagree,
14018567018,1,0,1,1,0,,ER / EER,,0,0,0,0,0,0,0,0,0,0,1,SQL Developer Data Modeler,Other (please specify),SQL Developer Data Modeler,Between 1 and 3 years.,,0,1,0,0,0,0,,Advanced,0,0,1,0,0,,0,0,1,0,0,0,0,0,,Master's degree or higher education,,1,Rarely,Agree,Neither agree nor disagree,Agree,Agree,,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,not,1,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Sometimes,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,0,,,,,,,,,,,,,,,1,Usually,Agree,Agree,Agree,Neither agree nor disagree,,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
14018562513,1,1,1,0,0,,UML,,1,1,1,0,0,1,0,1,1,0,0,,Astah,,More than 3 years,20,1,1,0,0,1,0,,Advanced,1,1,0,0,0,,1,0,1,1,0,1,1,0,,Master's degree or higher education,,1,Sometimes,Strongly agree,Agree,Agree,Disagree,,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree,This frustration contributed to better study the domain / to ask more information to the stakeholders / to postpone the model results,1,Usually,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,This frustration contributed to better explain the benefits of the model,1,Sometimes,Agree,Agree,Agree,Neither agree nor disagree,,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,,1,Usually,Strongly agree,Agree,Agree,Neither agree nor disagree,,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,,0,,,,,,,,,,,,,,,1,Sometimes,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,,Agree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,,1,Rarely,Agree,Agree,Disagree,Disagree,,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,,1,Usually,Agree,Agree,Neither agree nor disagree,Disagree,,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,,1,Usually,Strongly agree,Agree,Disagree,Disagree,,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,,1,Usually,Agree,Agree,Agree,Disagree,,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,,1,Sometimes,Agree,Agree,Neither agree nor disagree,Disagree,,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,,1,Usually,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,,0,,,,,,,,,,,,,,,1,Sometimes,Strongly agree,Strongly agree,Strongly agree,Disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
14018507417,1,0,0,0,0,,UML,,0,0,0,0,1,1,0,1,0,0,0,,StarUML,,Between 1 and 3 years.,,1,1,1,0,0,0,,Intermediate,1,1,0,0,0,,1,0,1,0,0,1,1,0,,Master's degree or higher education,,1,Rarely,Strongly disagree,Agree,Strongly disagree,Strongly disagree,,Disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Strongly disagree,,1,Sometimes,Strongly disagree,Strongly disagree,Agree,Strongly disagree,,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,,1,Always,Disagree,Strongly disagree,Agree,Strongly disagree,,Disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,,1,Rarely,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,,1,Usually,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,Agree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Strongly disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Sometimes,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,,Disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Strongly disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Always,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Strongly disagree,
14018477026,1,1,0,0,0,,OntoUML,,0,0,0,0,0,0,0,0,0,0,0,None,Other (please specify),None,Less than 1 year.,,0,0,0,0,0,1,I created a conceptual model for a university course,Novice,0,1,0,0,0,,0,0,1,0,0,0,0,0,,Master's degree or higher education,,1,Rarely,Disagree,Disagree,Disagree,Agree,,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Rarely,Disagree,Disagree,Disagree,Agree,,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Sometimes,Agree,Disagree,Agree,Agree,,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,,1,Sometimes,Disagree,Agree,Agree,Agree,,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,,0,,,,,,,,,,,,,,,1,Rarely,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,
